ip,port,protocol,q_ui_c_handshake_duration,q_ui_c_negotiated_protocol,q_ui_c_used0_rtt,q_ui_c_error,http_version,query_time,total_time,r_code,response_ip,response_ttl,error,vp
167.99.37.126,784,quic,934310379,doq-i02,0,,,241870021,1176220459,0,67.225.146.248,3,,singapore
167.99.37.126,784,quic,245853599,doq-i02,0,,,241835897,487730439,0,67.225.146.248,1,,singapore
160.251.96.67,784,quic,144402295,doq-i03,0,,,67932929,212364558,0,67.225.146.248,2560,,singapore
160.251.96.67,784,quic,853078,doq-i03,1,,,67626279,141023028,0,67.225.146.248,2558,,singapore
173.82.151.158,784,quic,697612922,doq-i02,0,,,173110972,870780539,0,67.225.146.248,1637,,singapore
173.82.151.158,784,quic,175459065,doq-i02,0,,,173114140,348608937,0,67.225.146.248,1635,,singapore
188.68.59.46,784,quic,475732788,doq-i03,0,,,157543055,633340884,0,0.0.0.0,10,,singapore
188.68.59.46,784,quic,158119145,doq-i03,0,,,155724278,313874149,0,0.0.0.0,10,,singapore
51.195.116.94,784,quic,571176217,doq-i03,0,,,279964582,851175782,0,67.225.146.248,2587,,singapore
51.195.116.94,784,quic,482777454,doq-i03,0,,,284823748,767636146,0,67.225.146.248,2585,,singapore
47.108.131.255,784,quic,272734314,doq-i03,0,,,133596643,406368533,0,67.225.146.248,3570,,singapore
47.108.131.255,784,quic,698562,doq-i03,1,,,133386816,268717083,0,67.225.146.248,3569,,singapore
47.103.26.225,784,quic,317760466,doq-i02,0,,,104193794,422004461,0,67.225.146.248,2276,,singapore
47.103.26.225,784,quic,106538267,doq-i02,0,,,104197576,210790187,0,67.225.146.248,2274,,singapore
150.136.214.141,784,quic,861038330,doq-i03,0,,,284217930,1145287887,0,67.225.146.248,84,,singapore
150.136.214.141,784,quic,286113819,doq-i03,0,,,283882385,570050915,0,67.225.146.248,82,,singapore
152.70.189.89,784,quic,322554028,doq-i03,0,,,158974839,481581609,0,0.0.0.0,10,,singapore
152.70.189.89,784,quic,814583,doq-i03,1,,,159192795,320197272,0,0.0.0.0,10,,singapore
54.179.190.143,784,quic,11993433,doq-i03,0,,,2117182,14139160,0,67.225.146.248,1506,,singapore
54.179.190.143,784,quic,829367,doq-i03,1,,,2145833,6125822,0,67.225.146.248,1505,,singapore
176.103.134.4,784,quic,515938825,doq-i03,0,,,257366292,773342661,0,67.225.146.248,3583,,singapore
176.103.134.4,784,quic,264119361,doq-i03,0,,,253933365,518089703,0,67.225.146.248,3581,,singapore
176.103.134.4,8853,quic,512203573,doq-i03,0,,,253243790,765509115,0,67.225.146.248,3579,,singapore
176.103.134.4,8853,quic,259868374,doq-i03,0,,,256178062,516123365,0,67.225.146.248,3577,,singapore
176.103.134.4,853,quic,535485812,doq-i03,0,,,266294157,801818725,0,67.225.146.248,3574,,singapore
176.103.134.4,853,quic,274393096,doq-i03,0,,,271104237,545535955,0,67.225.146.248,3572,,singapore
185.253.5.254,8853,quic,505060334,doq-i03,0,,,251161599,756257834,0,67.225.146.248,3579,,singapore
185.253.5.254,8853,quic,252897522,doq-i03,0,,,253806435,506735127,0,67.225.146.248,3577,,singapore
82.118.227.235,784,quic,541851284,doq-i03,0,,,266349098,808236910,0,0.0.0.0,10,,singapore
108.136.97.40,784,quic,61521913,doq-i03,0,,,15201747,76777446,0,67.225.146.248,2380,,singapore
82.118.227.235,784,quic,691499,doq-i03,1,,,266773275,534384930,0,0.0.0.0,10,,singapore
108.136.97.40,784,quic,17016235,doq-i03,0,,,15071606,32146540,0,67.225.146.248,2378,,singapore
108.136.97.40,853,quic,72918717,doq-i03,0,,,16365551,89322902,0,67.225.146.248,2373,,singapore
108.136.97.40,853,quic,18487581,doq-i03,0,,,16255852,34798691,0,67.225.146.248,2371,,singapore
176.102.36.61,784,quic,807855088,doq-i03,0,,,306019572,1113905748,0,0.0.0.0,10,,singapore
176.102.36.61,784,quic,330194460,doq-i03,0,,,307809579,638046373,0,0.0.0.0,10,,singapore
140.238.26.177,784,quic,174117577,doq-i03,0,,,82633341,256779418,0,67.225.146.248,2533,,singapore
140.238.26.177,784,quic,852306,doq-i03,1,,,82313929,166934510,0,67.225.146.248,2532,,singapore
108.137.49.28,784,quic,58403393,doq-i03,0,,,15418247,73862475,0,67.225.146.248,2646,,singapore
108.137.49.28,784,quic,17347526,doq-i03,0,,,15288395,32672098,0,67.225.146.248,2645,,singapore
218.251.80.123,784,quic,231540021,doq-i00,0,,,82506352,314078277,0,67.225.146.248,3240,,singapore
218.251.80.123,784,quic,76693731,doq-i00,0,,,74515326,151242128,0,67.225.146.248,3238,,singapore
132.226.19.64,784,quic,170664547,doq-i03,0,,,82510379,253233716,0,67.225.146.248,2730,,singapore
185.229.251.250,784,quic,348256350,doq-i03,0,,,168523666,516838135,0,67.225.146.248,3504,,singapore
185.229.251.250,784,quic,1455245,doq-i03,1,,,168557855,340661284,0,67.225.146.248,3502,,singapore
45.67.32.107,784,quic,404239500,doq-i03,0,,,202628513,606904953,0,67.225.146.248,2168,,singapore
45.67.32.107,784,quic,205078750,doq-i03,0,,,202661677,407775972,0,67.225.146.248,2166,,singapore
188.165.4.138,784,quic,558772905,doq-i03,0,,,275824879,834633859,0,67.225.146.248,116,,singapore
188.165.4.138,784,quic,919923,doq-i03,1,,,276497109,553924898,0,67.225.146.248,114,,singapore
198.255.103.36,784,quic,358623818,doq-i03,0,,,180675555,539354348,0,67.225.146.248,2811,,singapore
198.255.103.36,784,quic,1115025,doq-i03,1,,,175424542,352837595,0,67.225.146.248,2809,,singapore
132.145.83.120,784,quic,161770643,doq-i03,0,,,77791663,239596983,0,67.225.146.248,2575,,singapore
132.145.83.120,784,quic,723380,doq-i03,1,,,77985914,158090189,0,67.225.146.248,2573,,singapore
176.103.130.136,784,quic,483521984,doq-i03,0,,,240844295,724404380,0,67.225.146.248,943,,singapore
194.87.238.247,784,quic,861657685,doq-i03,0,,,209036386,1070722005,0,67.225.146.248,3582,,singapore
176.103.130.136,784,quic,248688515,doq-i03,0,,,245095630,493818858,0,67.225.146.248,941,,singapore
194.87.238.247,784,quic,858757,doq-i03,1,,,202045756,407463749,0,67.225.146.248,3581,,singapore
176.103.130.136,8853,quic,488143610,doq-i03,0,,,241025075,729199844,0,67.225.146.248,939,,singapore
176.103.130.136,8853,quic,242714710,doq-i03,0,,,240733264,483485960,0,67.225.146.248,937,,singapore
176.103.130.136,853,quic,484544155,doq-i03,0,,,241273543,725854892,0,67.225.146.248,935,,singapore
176.103.130.136,853,quic,243450537,doq-i03,0,,,241297635,484779980,0,67.225.146.248,933,,singapore
194.29.187.122,784,quic,132457827,doq-i03,0,,,32389353,164899634,0,0.0.0.0,10,,singapore
194.29.187.122,784,quic,34608995,doq-i03,0,,,32514528,67167770,0,0.0.0.0,10,,singapore
180.93.137.1,784,quic,293145527,doq-i03,0,,,71101798,364276897,0,67.225.146.248,3172,,singapore
180.93.137.1,784,quic,75105127,doq-i03,0,,,71259826,146400663,0,67.225.146.248,3171,,singapore
34.80.137.209,8853,quic,107608469,doq-i03,0,,,46712554,154381575,3,,,,singapore
209.17.118.5,784,quic,18344849,doq-i02,0,,,3214632,21596317,0,0.0.0.0,10,,singapore
34.80.137.209,8853,quic,850896,doq-i03,1,,,46381030,94984449,3,,,,singapore
209.17.118.5,784,quic,6366559,doq-i02,0,,,3747052,10174248,0,0.0.0.0,10,,singapore
129.153.82.120,784,quic,481107381,doq-i03,0,,,237964464,719103813,0,0.0.0.0,10,,singapore
129.153.82.120,784,quic,987179,doq-i03,1,,,241813046,481964057,0,0.0.0.0,10,,singapore
135.125.181.234,784,quic,1381702055,doq-i02,0,,,282025222,1663759508,0,67.225.146.248,2744,,singapore
132.226.232.79,784,quic,335003249,doq-i02,0,,,82849642,417879864,0,67.225.146.248,2055,,singapore
132.226.232.79,784,quic,91324303,doq-i02,0,,,84774809,176159231,0,67.225.146.248,2053,,singapore
135.125.181.234,784,quic,1472885680,doq-i02,0,,,828546025,2301463797,0,67.225.146.248,2741,,singapore
140.238.42.214,784,quic,140284668,doq-i03,0,,,67875060,208198866,0,67.225.146.248,2613,,singapore
